ID,Gender,WH,random_int_1
9342,f,37,1618
9343,m,39,1601
9344,f,19,1589
9345,f,54,1617
9346,f,45,1605
9347,m,20,1608
9348,m,19,1606
9349,f,49,1618
9350,m,56,1620
9351,m,43,1620
9352,m,14,1618
9353,f,50,1615
9354,f,47,1594
9355,m,29,1606
9356,f,2,1605
9357,f,15,1593
9358,m,4,1590
9359,f,14,1588
9360,m,43,1623
9361,m,16,1599
9362,f,4,1586
9363,f,21,1606
9364,m,21,1601
9365,f,26,1588
9366,m,53,1613
9367,m,19,1591
9368,m,33,1606
9369,f,19,1605
9370,f,43,1595
9371,f,16,1613
9372,f,0,1592
9373,f,35,1602
9374,f,15,1619
9375,m,55,1601
9376,f,34,1597
9377,f,52,1625
9378,f,32,1598
9379,m,29,1596
9380,f,58,1621
9381,m,44,1623
9382,m,16,1596
9383,m,9,1597
9384,f,48,1591
9385,m,37,1600
9386,f,40,1595
9387,f,5,1594
9388,m,57,1618
9389,m,51,1603
9390,f,56,1602
9391,f,13,1593
9392,m,32,1614
9393,m,27,1598
9394,f,48,1596
9395,m,19,1599
9396,m,10,1621
9397,m,52,1589
9398,m,59,1586
9399,f,26,1588
9400,f,11,1611
9401,f,34,1587
9402,f,18,1607
9403,f,34,1594
9404,f,18,1623
9405,f,52,1609
9406,m,49,1619
9407,f,22,1601
9408,m,15,1612
9409,f,11,1586
9410,m,52,1624
9411,m,37,1602
9412,m,12,1625
9413,m,10,1598
9414,m,58,1624
9415,m,51,1615
9416,f,53,1613
9417,f,19,1604
9418,f,20,1607
9419,f,38,1591
9420,f,39,1595
9421,m,14,1586
9422,m,6,1589
9423,m,7,1607
9424,f,43,1588
9425,f,54,1598
9426,m,5,1598
9427,f,13,1593
9428,m,25,1624
9429,f,57,1619
9430,m,3,1601
9431,f,10,1606
9432,m,19,1619
9433,f,50,1613
9434,m,54,1623
9435,f,44,1597
9436,m,7,1603
9437,m,1,1611
9438,f,38,1597
9439,m,31,1615
9440,f,23,1602
9441,f,8,1605
9442,f,26,1620
9443,f,5,1604
9444,f,22,1592
9445,f,59,1616
9446,f,39,1604
9447,m,50,1621
9448,f,21,1615
9449,f,13,1623
9450,m,16,1605
9451,m,49,1597
9452,m,11,1599
9453,f,20,1586
9454,m,14,1597
9455,f,15,1623
9456,f,13,1591
9457,m,12,1588
9458,f,52,1618
9459,f,30,1603
9460,m,40,1605
9461,m,3,1618
9462,m,16,1588
9463,f,9,1596
9464,f,14,1592
9465,m,25,1624
9466,f,5,1599
9467,f,16,1618
9468,m,46,1624
9469,m,50,1623
9470,m,34,1598
9471,m,27,1609
9472,f,12,1592
9473,m,53,1601
9474,f,22,1600
9475,f,24,1620
9476,f,1,1609
9477,f,21,1594
9478,f,36,1602
9479,f,57,1604
9480,m,1,1612
9481,m,18,1586
9482,m,24,1608
9483,f,22,1619
9484,f,5,1599
9485,m,19,1592
9486,f,39,1595
9487,m,14,1617
9488,m,10,1619
9489,m,42,1607
9490,m,27,1615
9491,m,32,1624
9492,f,10,1601
9493,f,33,1600
9494,m,47,1614
9495,m,50,1623
9496,f,19,1594
9497,m,45,1601
9498,f,24,1590
9499,m,26,1608
9500,m,38,1595
9501,m,59,1617
9502,f,35,1592
9503,m,4,1592
9504,m,15,1599
9505,f,20,1601
9506,m,2,1624
9507,f,33,1592
9508,f,24,1611
9509,f,29,1623
9510,m,21,1616
9511,m,28,1609
9512,m,18,1588
9513,m,25,1623
9514,m,48,1620
9515,m,6,1589
9516,m,6,1608
9517,m,38,1619
9518,m,10,1615
9519,m,35,1593
9520,f,52,1618
9521,f,57,1612
9522,m,54,1592
9523,m,18,1587
9524,m,44,1619
9525,f,28,1599
9526,m,4,1624
9527,f,39,1611
9528,f,27,1598
9529,f,58,1602
9530,m,16,1613
9531,m,44,1590
9532,f,26,1586
9533,f,53,1602
9534,m,8,1601
9535,f,33,1591
9536,m,47,1617
9537,m,1,1602
9538,m,22,1622
9539,f,2,1611
9540,m,26,1599
9541,m,53,1600
9542,f,5,1603
9543,m,10,1622
9544,f,6,1623
9545,f,34,1611
9546,m,53,1613
9547,f,49,1592
9548,f,49,1621
9549,f,57,1596
9550,f,25,1616
9551,m,55,1600
9552,m,11,1618
9553,m,53,1595
9554,m,31,1591
9555,m,27,1589
9556,f,27,1603
9557,m,0,1593
9558,m,14,1615
9559,m,54,1592
9560,f,2,1616
9561,f,50,1609
9562,m,15,1603
9563,m,54,1589
9564,m,56,1607
9565,m,20,1605
9566,m,5,1619
9567,f,51,1602
9568,m,45,1614
9569,f,4,1598
9570,f,31,1595
9571,f,37,1615
9572,m,28,1587
9573,f,34,1595
9574,m,59,1586
9575,f,3,1624
9576,m,57,1592
9577,f,4,1588
9578,f,23,1601
9579,f,19,1595
9580,m,8,1603
9581,m,37,1599
9582,f,5,1605
9583,m,31,1596
9584,m,7,1609
9585,m,32,1620
9586,m,29,1618
9587,m,9,1618
9588,m,7,1591
9589,f,53,1615
9590,f,48,1593
9591,f,40,1624
9592,f,59,1592
9593,f,6,1598
9594,m,6,1611
9595,m,15,1615
9596,m,38,1601
9597,f,47,1624
9598,f,6,1614
9599,f,39,1605
9600,m,0,1586
9601,f,14,1618
9602,m,53,1592
9603,m,10,1621
9604,m,1,1624
9605,m,59,1592
9606,f,2,1590
9607,f,25,1624
9608,f,7,1622
9609,f,25,1595
9610,f,8,1610
9611,m,18,1617
9612,m,18,1595
9613,m,0,1615
9614,f,9,1618
9615,f,23,1588
9616,m,25,1591
9617,f,18,1608
9618,m,56,1597
9619,f,28,1597
9620,m,8,1624
9621,m,19,1615
9622,f,49,1587
9623,f,51,1625
9624,f,43,1606
9625,m,23,1613
9626,f,29,1597
9627,m,13,1625
9628,f,30,1586
9629,f,20,1622
9630,f,24,1592
9631,f,14,1592
9632,m,41,1624
9633,f,47,1586
9634,m,38,1621
9635,m,36,1601
9636,f,13,1616
9637,f,19,1599
9638,f,19,1622
9639,f,11,1607
9640,f,5,1586
9641,f,35,1614
9642,m,36,1594
9643,m,56,1594
9644,m,34,1590
9645,m,44,1622
9646,m,59,1590
9647,m,29,1614
9648,m,54,1595
9649,f,18,1591
9650,f,37,1623
9651,f,56,1601
9652,m,44,1622
9653,f,48,1590
9654,f,14,1605
9655,f,35,1599
9656,f,48,1608
9657,f,36,1623
9658,f,49,1591
9659,m,5,1620
9660,m,31,1588
9661,f,18,1623
9662,f,51,1594
9663,f,46,1618
9664,f,41,1598
9665,f,20,1623
9666,f,45,1601
9667,m,18,1623
9668,f,15,1593
9669,m,58,1613
9670,f,56,1610
9671,m,29,1593
9672,m,31,1610
9673,m,35,1586
9674,m,2,1614
9675,m,55,1622
9676,m,30,1615
9677,m,21,1601
9678,m,43,1614
9679,f,48,1616
9680,m,52,1607
9681,m,54,1610
9682,f,25,1593
9683,f,53,1594
9684,m,7,1599
9685,f,53,1589
9686,m,14,1599
9687,m,9,1608
9688,m,17,1594
9689,f,41,1613
9690,m,42,1600
9691,f,40,1603
9692,f,22,1588
9693,f,34,1604
9694,f,41,1614
9695,m,2,1587
9696,f,47,1595
9697,m,0,1604
9698,m,5,1601
9699,m,2,1603
9700,m,33,1593
9701,f,57,1602
9702,m,45,1588
9703,m,51,1615
9704,m,16,1613
9705,f,42,1603
9706,m,19,1594
9707,m,44,1587
9708,f,41,1608
9709,f,12,1617
9710,f,53,1593
9711,m,33,1587
9712,m,7,1613
9713,m,32,1587
9714,f,45,1612
9715,f,15,1606
9716,f,43,1622
9717,f,11,1610
9718,f,10,1614
9719,f,33,1586
9720,m,45,1597
9721,f,34,1593
9722,f,27,1609
9723,m,28,1599
9724,f,37,1602
9725,m,38,1625
9726,m,53,1620
9727,f,0,1614
9728,m,45,1594
9729,f,4,1588
9730,m,58,1597
9731,m,40,1594
9732,m,57,1610
9733,m,54,1602
9734,m,33,1599
9735,f,49,1622
9736,f,3,1618
9737,m,48,1592
9738,m,14,1612
9739,f,51,1623
9740,f,55,1597
9741,f,18,1615
9742,m,55,1610
9743,f,13,1607
9744,f,2,1600
9745,f,17,1624
9746,f,38,1617
9747,m,0,1603
9748,m,26,1589
9749,m,27,1620
9750,f,54,1618
9751,m,34,1596
9752,f,43,1593
9753,f,26,1622
9754,m,50,1612
9755,f,2,1609
9756,f,45,1591
9757,f,49,1613
9758,m,49,1598
9759,m,6,1609
9760,f,29,1621
9761,f,10,1618
9762,f,57,1611
9763,f,5,1606
9764,m,21,1606
9765,m,38,1622
9766,m,54,1614
9767,f,1,1603
9768,f,4,1605
9769,f,54,1598
9770,m,22,1605
9771,f,32,1591
9772,m,44,1589
9773,f,48,1618
9774,m,44,1586
9775,m,43,1615
9776,f,30,1589
9777,m,32,1603
9778,m,6,1619
9779,f,10,1620
9780,f,53,1624
9781,m,14,1601
9782,f,25,1608
9783,f,22,1611
9784,m,56,1613
9785,m,15,1607
9786,m,47,1613
9787,m,19,1610
9788,f,57,1609
9789,m,12,1614
9790,m,41,1590
9791,m,26,1617
9792,m,4,1625
9793,f,13,1610
9794,m,0,1615
9795,f,21,1591
9796,m,22,1616
9797,f,50,1593
9798,m,39,1601
9799,m,47,1589
9800,f,10,1599
9801,m,11,1601
9802,m,12,1607
9803,m,35,1612
9804,m,14,1604
9805,f,5,1605
9806,f,3,1590
9807,f,30,1590
9808,f,17,1612
9809,m,29,1607
9810,f,32,1594
9811,f,33,1617
9812,m,26,1605
9813,m,32,1606
9814,m,16,1590
9815,f,59,1612
9816,m,4,1601
9817,m,49,1625
9818,m,32,1612
9819,m,54,1586
9820,m,20,1597
9821,f,36,1586
9822,f,10,1615
9823,f,17,1590
9824,f,4,1614
9825,f,46,1599
9826,f,54,1624
9827,f,39,1610
9828,m,18,1625
9829,m,15,1616
9830,m,30,1612
9831,f,28,1611
9832,f,57,1614
9833,m,25,1619
9834,f,39,1600
9835,m,5,1604
9836,m,52,1594
9837,f,19,1609
9838,m,38,1621
9839,f,25,1624
9840,f,35,1592
9841,m,19,1601
9842,m,28,1620
9843,f,45,1620
9844,f,1,1595
9845,m,7,1620
9846,m,52,1594
9847,f,39,1603
9848,f,11,1590
9849,m,7,1591
9850,f,53,1610
9851,f,6,1592
9852,f,53,1597
9853,m,28,1603
9854,f,19,1616
9855,m,28,1612
9856,f,49,1618
9857,m,46,1618
9858,f,11,1592
9859,f,12,1587
9860,f,3,1610
9861,f,50,1604
9862,f,17,1607
9863,m,51,1599
9864,m,16,1605
9865,f,55,1592
9866,f,33,1618
9867,f,2,1597
9868,m,38,1605
9869,m,43,1601
9870,f,47,1609
9871,m,8,1615
9872,m,35,1590
9873,f,56,1597
9874,f,58,1607
9875,m,54,1599
9876,f,45,1595
9877,f,40,1615
9878,m,25,1610
9879,f,19,1598
9880,m,16,1617
9881,f,49,1604
9882,f,27,1618
9883,m,45,1591
9884,f,52,1587
9885,f,51,1619
9886,m,1,1590
9887,f,20,1588
9888,m,50,1587
9889,m,54,1617
9890,m,26,1599
9891,m,21,1589
9892,f,11,1613
9893,f,52,1598
9894,m,9,1598
9895,f,6,1587
9896,f,20,1612
9897,m,4,1607
9898,m,4,1625
9899,f,36,1599
9900,f,49,1619
9901,f,29,1603
9902,m,22,1604
9903,m,35,1590
9904,m,9,1615
9905,m,27,1603
9906,m,43,1597
9907,f,50,1603
9908,f,37,1620
9909,m,49,1621
9910,m,52,1604
9911,m,42,1608
9912,m,2,1590
9913,f,15,1611
9914,m,4,1601
9915,f,8,1622
9916,f,8,1593
9917,m,53,1598
9918,m,18,1614
9919,m,13,1609
9920,f,16,1599
9921,f,26,1595
9922,f,52,1625
9923,f,35,1617
9924,m,22,1622
9925,f,19,1621
9926,f,38,1611
9927,m,10,1605
9928,f,59,1595
9929,f,50,1598
9930,m,13,1624
9931,m,16,1620
9932,f,48,1623
9933,f,5,1589
9934,m,16,1621
9935,m,22,1603
9936,m,13,1598
9937,m,2,1596
9938,f,16,1600
9939,m,29,1616
9940,f,45,1618
9941,f,43,1616
9942,f,29,1621
9943,m,44,1598
9944,f,7,1619
9945,m,41,1611
9946,m,30,1596
9947,m,5,1606
9948,f,45,1620
9949,m,8,1607
9950,m,0,1616
9951,f,2,1618
9952,m,35,1600
9953,f,29,1618
9954,m,7,1624
9955,f,37,1605
9956,m,34,1586
9957,f,56,1594
9958,f,28,1615
9959,m,20,1591
9960,f,0,1589
9961,f,4,1595
9962,f,10,1594
9963,m,37,1611
9964,f,47,1611
9965,f,19,1625
9966,f,48,1599
9967,m,17,1611
9968,m,19,1601
9969,m,43,1588
9970,m,21,1624
9971,m,27,1608
9972,m,28,1606
9973,m,18,1613
9974,m,16,1599
9975,m,19,1600
9976,m,10,1595
9977,f,51,1623
9978,f,58,1622
9979,m,12,1600
9980,f,20,1603
9981,f,57,1594
9982,m,8,1593
9983,m,19,1604
9984,m,18,1619
9985,m,40,1625
9986,f,2,1590
9987,f,44,1600
9988,m,52,1603
9989,m,52,1593
9990,f,20,1613
9991,f,59,1611
9992,m,11,1592
9993,f,25,1606
9994,f,32,1593
9995,f,24,1602
9996,f,12,1609
9997,m,34,1610
9998,m,52,1625
9999,m,25,1609
10000,f,27,1619
10001,m,33,1597
10002,m,23,1601
10003,m,8,1625
10004,f,25,1598
10005,f,57,1603
10006,m,20,1604
10007,f,45,1616
10008,f,24,1615
10009,m,13,1600
10010,f,14,1600
10011,m,24,1602
10012,f,36,1606
10013,f,45,1622
10014,m,32,1623
10015,f,11,1596
10016,m,17,1599
10017,f,47,1590
10018,f,55,1600
10019,f,51,1609
10020,m,10,1615
10021,m,24,1588
10022,f,10,1602
10023,m,48,1598
10024,f,45,1615
10025,m,55,1607
10026,m,5,1588
10027,f,21,1613
10028,f,17,1609
10029,m,44,1587
10030,m,48,1586
10031,f,33,1593
10032,f,1,1613
10033,f,27,1594
10034,f,23,1625
10035,m,22,1601
10036,m,55,1599
10037,m,25,1613
10038,m,48,1602
10039,f,5,1599
10040,f,43,1623
10041,f,58,1603
10042,m,39,1602
10043,m,30,1614
10044,m,25,1616
10045,m,14,1592
10046,m,20,1608
10047,f,0,1594
10048,m,44,1586
10049,m,48,1624
10050,f,30,1621
10051,f,20,1586
10052,m,2,1611
10053,m,24,1594
10054,m,57,1597
10055,m,39,1597
10056,m,28,1600
10057,f,5,1593
10058,m,5,1611
10059,f,51,1587
10060,f,32,1610
10061,f,12,1612
10062,m,27,1611
10063,f,47,1596
10064,f,39,1612
10065,f,49,1609
10066,m,44,1587
10067,m,41,1594
10068,m,24,1616
10069,f,30,1611
10070,f,0,1596
10071,m,53,1600
10072,f,13,1588
10073,m,7,1612
10074,f,28,1593
10075,f,58,1597
10076,f,26,1601
10077,f,48,1617
10078,m,33,1621
10079,m,8,1597
10080,f,16,1598
10081,m,39,1618
10082,f,46,1593
10083,f,33,1618
10084,f,46,1617
10085,m,3,1621
10086,m,21,1617
10087,m,17,1609
10088,m,10,1604
10089,f,29,1623
10090,m,3,1610
10091,f,29,1617
10092,m,14,1593
10093,m,59,1607
10094,m,51,1618
10095,f,12,1609
10096,f,59,1603
10097,m,32,1596
10098,f,11,1590
10099,f,56,1592
10100,f,5,1625
10101,m,58,1613
10102,m,6,1614
10103,m,42,1612
10104,f,6,1587
10105,f,22,1610
10106,m,52,1593
10107,f,17,1610
10108,f,57,1588
10109,m,27,1593
10110,m,24,1616
10111,f,54,1587
10112,m,38,1600
10113,m,30,1622
10114,m,45,1600
10115,m,45,1597
10116,m,7,1618
10117,m,14,1617
10118,f,36,1604
10119,f,2,1597
10120,f,5,1601
10121,f,52,1625
10122,m,13,1586
10123,m,59,1624
10124,m,36,1625
10125,m,55,1587
10126,m,3,1603
10127,f,4,1601
10128,f,25,1590
10129,f,43,1625
10130,f,56,1620
10131,f,55,1617
10132,f,33,1600
10133,m,59,1600
10134,m,30,1589
10135,m,45,1620
10136,m,42,1607
10137,m,25,1624
10138,f,39,1589
10139,f,51,1619
10140,m,55,1613
10141,f,38,1620
10142,f,16,1599
10143,m,26,1593
10144,m,10,1624
10145,m,58,1586
10146,m,58,1622
10147,m,25,1613
10148,m,47,1614
10149,m,51,1612
10150,m,51,1603
10151,m,24,1599
10152,f,46,1624
10153,m,1,1604
10154,m,39,1611
10155,m,17,1614
10156,m,35,1593
10157,f,10,1618
10158,m,47,1625
10159,m,12,1623
10160,f,6,1597
10161,m,14,1592
10162,m,21,1613
10163,f,54,1616
10164,f,13,1596
10165,m,17,1602
10166,m,39,1604
10167,m,11,1620
10168,m,57,1602
10169,f,36,1622
10170,f,50,1610
10171,m,52,1606
10172,m,56,1611
10173,m,46,1605
10174,f,21,1612
10175,f,59,1624
10176,m,32,1595
10177,m,33,1616
10178,f,5,1624
10179,m,12,1599
10180,m,24,1604
10181,f,29,1613
10182,f,45,1619
10183,f,49,1610
10184,m,38,1603
10185,m,25,1605
10186,m,27,1620
10187,f,13,1610
10188,m,38,1595
10189,m,14,1613
10190,m,17,1608
10191,f,17,1590
10192,f,46,1604
10193,m,38,1592
10194,m,28,1587
10195,f,52,1590
10196,f,20,1607
10197,f,2,1589
10198,m,0,1620
10199,f,30,1610
10200,m,9,1618
10201,f,6,1612
10202,m,6,1588
10203,f,51,1592
10204,m,55,1611
10205,f,55,1611
10206,m,37,1601
10207,f,8,1613
10208,f,36,1595
10209,f,6,1596
10210,f,4,1592
10211,f,9,1599
10212,m,20,1623
10213,m,47,1622
10214,m,8,1615
10215,f,28,1610
10216,f,2,1599
10217,m,16,1604
10218,f,59,1602
10219,m,40,1606
10220,f,58,1587
10221,m,54,1605
10222,f,23,1602
10223,m,17,1622
10224,f,13,1601
10225,f,23,1611
10226,f,57,1590
10227,f,7,1622
10228,f,56,1595
10229,f,24,1620
10230,f,40,1586
10231,f,3,1596
10232,f,44,1611
10233,f,21,1601
10234,f,18,1594
10235,m,41,1595
10236,f,50,1600
10237,m,4,1618
10238,m,33,1591
10239,m,21,1589
10240,f,56,1603
10241,f,57,1588
10242,m,19,1603
10243,m,35,1607
10244,m,38,1622
10245,f,47,1594
10246,m,21,1586
10247,f,22,1591
10248,m,46,1589
10249,f,38,1603
10250,f,48,1624
10251,f,33,1587
10252,m,56,1596
10253,f,19,1607
10254,f,19,1614
10255,m,2,1594
10256,m,30,1601
10257,f,56,1608
10258,m,28,1593
10259,f,47,1586
10260,f,32,1596
10261,m,58,1623
10262,f,28,1598
10263,m,1,1587
10264,m,28,1609
10265,f,52,1590
10266,m,23,1601
10267,m,3,1595
10268,f,34,1591
10269,f,3,1617
10270,m,13,1595
10271,m,25,1597
10272,f,46,1607
10273,m,5,1594
10274,m,44,1594
10275,f,31,1600
10276,m,7,1612
10277,m,13,1614
10278,f,26,1610
10279,f,44,1621
10280,m,20,1617
10281,m,19,1603
10282,m,9,1588
10283,m,37,1622
10284,m,45,1617
10285,f,20,1587
10286,f,26,1612
10287,m,25,1604
10288,f,57,1613
10289,m,35,1599
10290,f,33,1598
10291,m,54,1606
10292,m,37,1613
10293,m,17,1589
10294,f,26,1603
10295,f,19,1603
10296,m,29,1625
10297,m,20,1589
10298,m,36,1625
10299,m,28,1622
10300,f,56,1592
10301,f,50,1589
10302,m,38,1589
10303,f,35,1596
10304,m,25,1611
10305,m,58,1620
10306,m,29,1604
10307,m,57,1625
10308,f,19,1618
10309,m,41,1594
10310,m,8,1603
10311,m,56,1590
10312,m,47,1609
10313,f,3,1623
10314,f,35,1596
10315,m,21,1625
10316,m,43,1606
10317,f,10,1615
10318,m,48,1593
10319,f,28,1587
10320,m,32,1588
10321,m,30,1605
10322,m,56,1604
10323,f,13,1610
10324,m,24,1602
10325,m,5,1591
10326,m,58,1587
10327,m,43,1608
10328,f,14,1596
10329,m,55,1624
10330,m,25,1606
10331,f,34,1619
10332,m,29,1618
10333,f,25,1604
10334,m,12,1593
10335,m,12,1612
10336,f,51,1590
10337,f,37,1616
10338,f,22,1618
10339,m,41,1604
10340,f,27,1611
10341,f,57,1589
10342,f,20,1607
10343,f,4,1588
10344,m,33,1598
10345,f,19,1606
10346,m,59,1609
10347,m,23,1604
10348,m,9,1618
10349,f,13,1625
10350,f,54,1590
10351,f,27,1595
10352,m,18,1587
10353,m,55,1622
10354,m,32,1587
10355,f,12,1597
10356,f,53,1605
10357,m,41,1602
10358,m,30,1591
10359,f,57,1616
10360,f,44,1605
10361,m,52,1622
10362,m,24,1598
10363,f,40,1608
10364,f,19,1604
10365,f,3,1597
10366,m,58,1622
10367,m,13,1605
10368,f,22,1601
10369,m,57,1620
10370,f,29,1616
10371,f,32,1610
10372,m,27,1588
10373,m,59,1606
10374,m,0,1623
10375,m,10,1586
10376,f,37,1625
10377,m,21,1598
10378,f,54,1616
10379,f,28,1588
10380,f,6,1602
10381,f,41,1620
10382,f,11,1615
10383,m,46,1619
10384,f,18,1597
10385,m,45,1625
10386,f,33,1609
10387,f,38,1590
10388,f,0,1613
10389,f,33,1592
10390,f,36,1603
10391,f,24,1591
10392,f,10,1610
10393,f,44,1589
10394,m,4,1609
10395,m,3,1602
10396,f,3,1612
10397,m,10,1622
10398,m,22,1610
10399,m,0,1594
10400,m,17,1625
10401,m,26,1611
10402,f,4,1622
10403,m,10,1603
10404,f,38,1624
10405,f,12,1608
10406,m,47,1604
10407,m,32,1595
10408,m,49,1595
10409,f,54,1620
10410,f,0,1610
10411,m,46,1607
10412,f,57,1599
10413,f,51,1610
10414,m,0,1617
10415,m,34,1625
10416,m,47,1615
10417,f,35,1593
10418,m,23,1610
10419,f,25,1601
10420,m,49,1593
10421,m,4,1610
10422,f,42,1590
10423,f,55,1618
10424,f,5,1598
10425,f,18,1602
10426,m,55,1596
10427,f,0,1614
10428,m,54,1606
10429,f,45,1623
10430,m,28,1614
10431,m,44,1614
10432,f,50,1588
10433,f,52,1588
10434,m,45,1617
10435,f,32,1604
10436,m,9,1607
10437,m,36,1614
10438,f,38,1588
10439,f,36,1624
10440,m,37,1605
10441,f,36,1608
10442,m,34,1601
10443,m,42,1611
10444,m,12,1622
10445,f,35,1607
10446,f,4,1596
10447,f,49,1610
10448,m,18,1592
10449,f,53,1621
10450,f,11,1611
10451,f,58,1594
10452,f,12,1594
10453,f,9,1613
10454,f,0,1590
10455,f,49,1624
10456,m,57,1608
10457,f,32,1587
10458,f,32,1612
10459,m,12,1591
10460,f,33,1588
10461,m,49,1618
10462,f,42,1592
10463,m,6,1593
10464,m,3,1622
10465,m,57,1610
10466,f,50,1625
10467,f,32,1603
10468,f,43,1600
10469,m,38,1588
10470,f,45,1595
10471,m,8,1591
10472,m,25,1608
10473,m,34,1610
10474,m,0,1624
10475,m,37,1599
10476,f,35,1608
10477,m,35,1587
10478,f,4,1593
10479,m,13,1605
10480,m,5,1624
10481,f,27,1617
10482,f,1,1610
10483,m,50,1593
10484,f,50,1620
10485,f,45,1607
10486,m,58,1587
10487,f,17,1598
10488,m,18,1589
10489,m,30,1592
10490,f,53,1601
10491,f,44,1595
10492,m,31,1599
10493,f,59,1592
10494,m,7,1599
10495,m,5,1603
10496,m,3,1606
10497,f,40,1614
10498,m,37,1615
10499,f,1,1609
10500,f,52,1587
10501,m,6,1599
10502,m,23,1613
10503,m,0,1604
10504,f,59,1617
10505,f,40,1610
10506,f,58,1614
10507,f,59,1620
10508,m,11,1605
10509,f,12,1619
10510,f,40,1615
10511,f,43,1613
10512,m,41,1606
10513,f,40,1615
10514,m,47,1598
10515,m,57,1590
10516,m,17,1602
10517,f,31,1600
10518,m,22,1608
10519,f,24,1591
10520,f,29,1616
10521,f,51,1596
10522,m,39,1591
10523,f,49,1624
10524,f,19,1591
10525,f,14,1617
10526,m,25,1623
10527,m,35,1619
10528,m,21,1596
10529,m,15,1593
10530,m,23,1599
10531,m,42,1589
10532,m,58,1622
10533,f,11,1613
10534,m,9,1602
10535,m,19,1599
10536,m,52,1600
10537,f,41,1608
10538,m,1,1625
10539,m,12,1590
10540,f,1,1591
10541,f,42,1618
10542,f,26,1586
10543,f,26,1607
10544,m,20,1608
10545,f,54,1614
10546,m,26,1625
10547,f,29,1619
10548,m,14,1622
10549,m,29,1600
10550,m,58,1618
10551,f,26,1595
10552,f,26,1606
10553,m,42,1620
10554,m,24,1624
10555,m,54,1614
10556,m,37,1595
10557,f,38,1608
10558,f,22,1620
10559,m,53,1619
10560,m,54,1596
10561,m,56,1612
10562,f,13,1619
10563,m,8,1599
10564,f,51,1614
10565,m,5,1594
10566,f,38,1587
10567,f,26,1606
10568,f,24,1612
10569,f,32,1586
10570,m,58,1615
10571,f,24,1610
10572,f,47,1622
10573,f,44,1597
10574,m,7,1614
10575,m,58,1596
10576,m,11,1598
10577,f,47,1602
10578,m,25,1602
10579,m,57,1616
10580,m,7,1612
10581,f,28,1624
10582,f,0,1608
10583,f,18,1604
10584,m,40,1619
10585,m,38,1605
10586,f,7,1598
10587,f,56,1614
10588,f,10,1625
10589,f,44,1605
10590,m,30,1586
10591,m,6,1618
10592,f,0,1587
10593,f,27,1592
10594,f,14,1611
10595,m,48,1613
10596,f,6,1609
10597,f,45,1590
10598,m,56,1608
10599,m,2,1594
10600,m,1,1620
10601,f,47,1604
10602,m,19,1593
10603,m,29,1621
10604,m,1,1604
10605,m,14,1617
10606,m,51,1588
10607,f,32,1586
10608,f,46,1623
10609,f,7,1597
10610,f,38,1615
10611,m,48,1622
10612,m,30,1621
10613,f,48,1622
10614,f,42,1620
10615,f,37,1596
10616,f,9,1594
10617,m,48,1605
10618,m,44,1622
10619,f,36,1622
10620,f,1,1601
10621,f,42,1608
10622,m,17,1588
10623,m,12,1596
10624,f,15,1592
10625,f,13,1601
10626,m,38,1606
10627,f,35,1617
10628,m,29,1592
10629,f,55,1622
10630,f,21,1614
10631,m,15,1612
10632,f,53,1598
10633,f,50,1599
10634,m,14,1610
10635,m,42,1613
10636,f,16,1610
10637,f,7,1597
10638,f,29,1604
10639,m,51,1601
10640,f,40,1614
10641,f,46,1593
10642,m,19,1596
10643,f,16,1622
10644,m,49,1590
10645,m,15,1605
10646,f,56,1620
10647,f,36,1612
10648,m,0,1603
10649,f,17,1602
10650,m,52,1587
10651,f,12,1598
10652,f,43,1595
10653,f,19,1616
10654,f,33,1621
10655,f,48,1616
10656,m,27,1617
10657,m,48,1625
10658,f,57,1617
10659,m,35,1586
10660,m,3,1599
10661,m,50,1616
10662,m,5,1596
10663,m,4,1610
10664,f,22,1590
10665,m,15,1595
10666,m,35,1622
10667,m,36,1593
10668,m,15,1588
10669,f,31,1590
10670,m,58,1624
10671,f,2,1597
10672,f,41,1618
10673,f,1,1587
10674,f,59,1612
10675,m,29,1612
10676,m,41,1588
10677,f,39,1594
10678,f,58,1614
10679,f,53,1598
10680,m,39,1621
10681,m,17,1595
10682,m,45,1591
10683,m,18,1586
10684,f,26,1590
10685,m,22,1594
10686,m,51,1622
10687,f,16,1621
10688,f,6,1610
10689,f,26,1614
10690,m,0,1618
10691,m,10,1593
10692,f,20,1588
10693,m,11,1617
10694,m,14,1593
10695,m,53,1601
10696,m,17,1607
10697,f,8,1615
10698,f,48,1594
10699,f,2,1595
10700,f,52,1595
10701,f,37,1599
10702,f,49,1607
10703,f,20,1624
10704,m,8,1625
10705,f,1,1592
10706,f,48,1594
10707,m,50,1609
10708,m,30,1624
10709,f,8,1588
10710,m,19,1601
10711,f,44,1621
10712,f,59,1601
10713,f,29,1613
10714,f,46,1592
10715,f,31,1595
10716,f,2,1611
10717,f,28,1604
10718,m,21,1600
10719,f,42,1602
10720,f,11,1607
10721,m,3,1599
10722,f,38,1593
10723,m,18,1595
10724,m,12,1618
10725,m,40,1604
10726,m,4,1616
10727,m,57,1597
10728,f,33,1624
10729,f,3,1609
10730,m,23,1618
10731,f,1,1603
10732,m,8,1592
10733,m,29,1597
10734,f,54,1625
10735,f,0,1597
10736,f,42,1592
10737,m,0,1609
10738,m,45,1601
10739,m,15,1591
